ticket_id,customer_id,employee_id,ticket_type,priority,channel,region,created_date,resolved_date,resolution_hours,first_response_minutes,satisfaction_score,escalated,reopened,sla_breached,status,ticket_cost
TICK-2025-000030,CUST-11170,EMP-0228,Feature Request,Medium,Email,Europe,2025-12-13 08:36:33,2025-12-13 15:17:57,6.69,57,4.5,False,False,False,Closed,140.35
TICK-2024-000031,CUST-01935,EMP-0057,Integration Support,Medium,Web Portal,Asia-Pacific,2024-08-22 23:29:57,2024-08-25 14:08:57,62.65,9,1.7,True,False,True,Closed,1553.0
TICK-2025-000032,CUST-09758,EMP-0379,Login Issue,Medium,Email,Asia-Pacific,2025-02-22 12:40:00,2025-02-22 18:08:12,5.47,55,4.4,False,False,False,Closed,156.75
TICK-2025-000033,CUST-02982,EMP-0371,Bug Report,Critical,Email,Asia-Pacific,2025-12-22 14:59:30,2025-12-23 00:18:42,9.32,14,3.1,False,True,True,Closed,436.4
TICK-2025-000034,CUST-12923,EMP-0053,Feature Request,High,Email,Europe,2025-04-11 21:11:51,2025-04-12 00:20:15,3.14,10,4.7,False,False,False,Closed,102.8
TICK-2025-000035,CUST-00629,EMP-0061,Integration Support,Critical,Chat,Asia-Pacific,2025-04-10 22:30:26,2025-04-11 17:22:02,18.86,2,3.1,False,True,True,Closed,622.9
TICK-2025-000036,CUST-07633,EMP-0379,Payment Issue,Critical,Email,Europe,2025-01-28 11:12:52,2025-01-28 11:45:52,0.55,11,5.0,False,False,False,Closed,163.75
TICK-2025-000037,CUST-06921,EMP-0191,Payment Issue,Medium,Email,Asia-Pacific,2025-08-05 16:56:43,2025-08-05 17:42:19,0.76,49,4.7,False,False,False,Closed,69.0
TICK-2024-000038,CUST-11286,EMP-0137,Feature Request,Medium,Chat,Europe,2024-12-09 21:43:30,2024-12-10 06:24:45,8.69,53,3.8,False,False,False,Closed,213.75
TICK-2024-000039,CUST-03920,EMP-0050,Payment Issue,High,Chat,Europe,2024-11-15 08:25:23,2024-11-15 13:02:35,4.62,29,3.8,False,False,False,Closed,142.4
TICK-2025-000040,CUST-10332,EMP-0329,Data Sync Issue,High,Chat,South America,2025-08-30 12:46:53,2025-08-31 10:32:29,21.76,6,3.4,True,False,True,Closed,516.4
TICK-2024-000041,CUST-07248,EMP-0012,Payment Issue,Critical,Chat,Asia-Pacific,2024-09-23 10:21:42,2024-09-23 14:18:42,3.95,6,4.1,False,False,True,Closed,209.25
TICK-2025-000042,CUST-03427,EMP-0039,Data Sync Issue,Medium,Email,Asia-Pacific,2025-07-09 09:57:46,2025-07-10 01:30:10,15.54,8,4.5,False,False,False,Closed,380.8
TICK-2025-000043,CUST-02482,EMP-0153,Integration Support,High,Phone,Europe,2025-04-19 23:36:15,2025-04-22 00:49:27,49.22,29,2.4,False,False,True,Closed,1164.4
TICK-2024-000044,CUST-09667,EMP-0189,Feature Request,Low,Email,Asia-Pacific,2024-11-19 02:34:34,2024-11-19 19:46:34,17.2,44,4.1,False,False,False,Closed,298.0
TICK-2025-000045,CUST-03709,EMP-0207,Data Sync Issue,Low,Chat,Europe,2025-10-10 12:55:39,2025-10-11 11:22:03,22.44,49,4.5,False,False,False,Closed,631.0
TICK-2025-000046,CUST-11320,EMP-0260,Performance Issue,Medium,Chat,Europe,2025-08-03 18:44:23,2025-08-04 07:46:11,13.03,43,4.2,True,False,False,Closed,500.6
TICK-2025-000047,CUST-05824,EMP-0275,Login Issue,Medium,Email,North America,2025-08-31 02:36:21,2025-08-31 04:43:33,2.12,94,4.7,False,False,False,Closed,73.0
TICK-2025-000048,CUST-07082,EMP-0130,Data Sync Issue,Critical,Phone,Asia-Pacific,2025-03-04 02:56:46,2025-03-04 19:15:31,16.31,9,3.1,True,False,True,Closed,616.25
TICK-2025-000049,CUST-01331,EMP-0180,Account Management,Low,Web Portal,Europe,2025-07-02 16:58:35,2025-07-03 01:18:59,8.34,63,4.6,False,False,False,Closed,243.5
TICK-2024-000050,CUST-04864,EMP-0340,Bug Report,High,Chat,Asia-Pacific,2024-09-29 06:21:33,2024-09-29 13:04:45,6.72,28,4.8,False,False,False,Closed,224.4
TICK-2024-000051,CUST-04474,EMP-0161,Performance Issue,Critical,Web Portal,Europe,2024-03-07 08:08:47,2024-03-08 08:23:47,24.25,4,3.3,True,False,True,Closed,703.75
TICK-2024-000052,CUST-12426,EMP-0007,Performance Issue,High,Web Portal,Asia-Pacific,2024-09-11 14:07:24,2024-09-12 11:30:48,21.39,19,2.7,False,True,True,Closed,607.8
TICK-2025-000053,CUST-10212,EMP-0372,Feature Request,Medium,Chat,Europe,2025-12-25 01:03:56,2025-12-26 00:11:44,23.13,32,4.4,False,False,False,Closed,386.95
TICK-2025-000054,CUST-11535,EMP-0108,Bug Report,High,Email,North America,2025-07-25 15:11:33,2025-07-26 20:34:03,29.38,39,3.5,False,False,True,Closed,530.62
TICK-2025-000055,CUST-07089,EMP-0287,Integration Support,Medium,Chat,Europe,2025-11-23 00:33:51,2025-11-24 16:33:51,40.0,50,3.2,False,False,True,Closed,780.0
TICK-2024-000056,CUST-04911,EMP-0210,Bug Report,Medium,Web Portal,North America,2024-03-15 20:24:05,2024-03-16 10:19:17,13.92,39,4.0,False,True,False,Closed,428.4
TICK-2024-000057,CUST-12926,EMP-0021,Integration Support,High,Email,Asia-Pacific,2024-02-12 15:17:28,2024-02-15 06:13:52,62.94,11,1.7,True,False,True,Closed,1244.1
TICK-2024-000058,CUST-02234,EMP-0325,Login Issue,High,Email,Europe,2024-03-24 19:49:31,2024-03-24 20:19:31,0.5,14,4.7,False,False,False,Closed,30.0
TICK-2024-000059,CUST-10213,EMP-0059,Login Issue,High,Phone,Europe,2024-10-15 08:12:14,2024-10-15 08:42:14,0.5,5,4.5,False,False,False,Closed,32.5
TICK-2025-000060,CUST-08625,EMP-0058,Login Issue,Low,Phone,Europe,2025-08-01 15:31:36,2025-08-01 20:45:24,5.23,45,4.2,False,False,False,Closed,98.45
TICK-2025-000061,CUST-02605,EMP-0084,Bug Report,Low,Chat,Asia-Pacific,2025-11-07 20:07:12,2025-11-08 10:58:12,14.85,73,4.6,False,False,False,Closed,312.75
TICK-2024-000062,CUST-10266,EMP-0395,Performance Issue,Critical,Web Portal,Europe,2024-10-09 02:04:06,2024-10-09 09:45:30,7.69,4,3.9,False,False,True,Closed,373.8
TICK-2024-000063,CUST-08777,EMP-0109,Performance Issue,Medium,Email,North America,2024-04-09 04:18:37,2024-04-09 17:27:37,13.15,31,4.6,False,False,False,Closed,448.75
TICK-2024-000064,CUST-06043,EMP-0298,Feature Request,High,Chat,Europe,2024-09-05 21:20:31,2024-09-06 16:43:19,19.38,24,3.8,True,False,True,Closed,450.7
TICK-2024-000065,CUST-08038,EMP-0179,Performance Issue,Medium,Email,South America,2024-11-07 00:59:40,2024-11-07 21:55:28,20.93,48,3.6,True,False,False,Closed,553.95
TICK-2024-000066,CUST-10264,EMP-0363,Payment Issue,High,Web Portal,North America,2024-08-26 19:05:55,2024-08-26 23:33:31,4.46,16,3.8,False,True,False,Closed,199.2
TICK-2025-000067,CUST-02719,EMP-0247,Data Sync Issue,Low,Chat,North America,2025-12-26 05:04:04,2025-12-27 02:38:52,21.58,60,4.3,True,False,False,Closed,729.5
TICK-2024-000068,CUST-12005,EMP-0041,Bug Report,Medium,Email,Europe,2024-11-24 05:48:39,2024-11-24 22:04:51,16.27,37,4.2,False,False,False,Closed,415.4
TICK-2025-000069,CUST-00837,EMP-0377,Account Management,Medium,Email,North America,2025-04-09 04:01:49,2025-04-09 13:15:37,9.23,31,4.8,False,False,False,Closed,173.45
TICK-2024-000070,CUST-03435,EMP-0124,Data Sync Issue,Medium,Email,Asia-Pacific,2024-04-13 02:52:48,2024-04-13 05:26:24,2.56,43,4.7,False,False,False,Closed,134.0
TICK-2024-000071,CUST-12517,EMP-0158,Data Sync Issue,Low,Email,Europe,2024-12-14 04:02:42,2024-12-14 16:41:06,12.64,17,3.7,True,True,False,Closed,566.0
TICK-2024-000072,CUST-02107,EMP-0140,Login Issue,Low,Web Portal,Europe,2024-05-25 10:36:36,2024-05-25 11:06:36,0.5,15,4.5,False,False,False,Closed,30.0
TICK-2025-000073,CUST-05131,EMP-0281,Account Management,High,Chat,South America,2025-09-13 22:49:55,2025-09-14 08:26:31,9.61,21,3.4,False,False,True,Closed,179.15
TICK-2024-000074,CUST-12654,EMP-0133,Integration Support,Medium,Chat,Europe,2024-09-14 10:12:43,2024-09-16 16:40:19,54.46,56,2.2,False,False,True,Closed,1269.2
TICK-2025-000075,CUST-12618,EMP-0232,Login Issue,Medium,Chat,North America,2025-05-28 10:20:13,2025-05-28 11:59:49,1.66,32,4.4,False,False,False,Closed,53.2
TICK-2024-000076,CUST-04990,EMP-0383,Data Sync Issue,Low,Web Portal,North America,2024-06-12 21:35:22,2024-06-13 13:22:46,15.79,24,4.6,False,False,False,Closed,385.8
TICK-2025-000077,CUST-02077,EMP-0219,Data Sync Issue,High,Web Portal,Europe,2025-08-29 06:14:24,2025-08-29 14:20:24,8.1,40,3.7,False,False,True,Closed,232.0
TICK-2025-000078,CUST-11245,EMP-0173,Performance Issue,Medium,Chat,South America,2025-07-04 01:45:24,2025-07-05 11:28:00,33.71,63,2.0,True,True,True,Closed,974.2
TICK-2024-000079,CUST-06792,EMP-0079,Bug Report,Low,Web Portal,Europe,2024-02-18 06:04:54,2024-02-19 09:49:54,27.75,43,3.8,False,False,False,Closed,506.25
TICK-2025-000080,CUST-08652,EMP-0396,Account Management,High,Web Portal,North America,2025-10-07 05:46:17,2025-10-07 09:46:53,4.01,43,4.6,False,False,False,Closed,115.2
TICK-2025-000081,CUST-04528,EMP-0008,Bug Report,High,Phone,South America,2025-11-14 11:41:16,2025-11-15 07:50:52,20.16,36,3.5,True,False,True,Closed,613.2
TICK-2024-000082,CUST-04708,EMP-0234,Bug Report,Medium,Chat,North America,2024-12-21 02:28:45,2024-12-21 19:08:21,16.66,41,4.6,False,False,False,Closed,506.5
TICK-2024-000083,CUST-04222,EMP-0176,Performance Issue,Medium,Web Portal,Europe,2024-09-03 17:13:13,2024-09-04 07:00:01,13.78,25,4.8,False,False,False,Closed,464.5
TICK-2025-000084,CUST-05037,EMP-0012,Performance Issue,High,Email,North America,2025-07-10 08:32:30,2025-07-11 03:37:54,19.09,9,3.9,False,False,True,Closed,406.35
TICK-2024-000085,CUST-11364,EMP-0384,Account Management,Medium,Phone,North America,2024-02-09 07:48:16,2024-02-09 21:26:40,13.64,41,3.7,True,False,False,Closed,427.8
TICK-2024-000086,CUST-10747,EMP-0381,Payment Issue,High,Web Portal,North America,2024-10-11 17:31:15,2024-10-11 21:42:03,4.18,10,5.0,False,False,False,Closed,154.5
TICK-2024-000087,CUST-11466,EMP-0096,Data Sync Issue,Medium,Phone,North America,2024-05-12 08:48:23,2024-05-12 23:59:11,15.18,9,4.3,False,False,False,Closed,297.7
TICK-2024-000088,CUST-12927,EMP-0030,Feature Request,Medium,Chat,Asia-Pacific,2024-10-15 18:33:26,2024-10-16 23:15:26,28.7,43,3.1,False,False,True,Closed,470.5
TICK-2024-000089,CUST-01967,EMP-0050,Feature Request,Low,Phone,North America,2024-11-13 00:31:33,2024-11-13 06:47:45,6.27,1,4.8,False,False,False,Closed,165.4
TICK-2025-000090,CUST-13081,EMP-0368,Login Issue,Medium,Web Portal,Asia-Pacific,2025-02-26 20:39:14,2025-02-27 00:44:02,4.08,67,4.4,False,False,False,Closed,81.2
TICK-2024-000091,CUST-10285,EMP-0236,Feature Request,High,Email,Europe,2024-05-31 05:43:20,2024-05-31 10:54:08,5.18,38,4.7,False,False,False,Closed,143.6
TICK-2024-000092,CUST-09458,EMP-0308,Login Issue,High,Web Portal,North America,2024-07-03 01:48:56,2024-07-03 06:01:41,4.21,17,4.6,False,False,False,Closed,125.31
TICK-2024-000093,CUST-10519,EMP-0107,Bug Report,Low,Chat,Europe,2024-04-15 20:38:00,2024-04-16 12:15:12,15.62,37,3.6,False,True,False,Closed,462.4
TICK-2025-000094,CUST-09686,EMP-0048,Performance Issue,Critical,Chat,Europe,2025-05-17 06:10:46,2025-05-17 20:56:58,14.77,10,2.0,True,True,True,Closed,621.55
TICK-2025-000095,CUST-04520,EMP-0287,Integration Support,High,Phone,Asia-Pacific,2025-03-28 17:16:52,2025-03-31 16:16:52,71.0,10,2.5,True,False,True,Closed,1365.0
TICK-2025-000096,CUST-11135,EMP-0111,Performance Issue,High,Web Portal,Asia-Pacific,2025-05-06 15:25:22,2025-05-07 18:52:22,27.45,40,2.9,True,False,True,Closed,926.25
TICK-2025-000097,CUST-11382,EMP-0187,Payment Issue,Medium,Web Portal,Asia-Pacific,2025-10-15 22:55:31,2025-10-16 19:48:19,20.88,1,3.9,True,False,False,Closed,483.2
TICK-2024-000098,CUST-12055,EMP-0031,Performance Issue,High,Email,Europe,2024-10-23 13:00:36,2024-10-24 07:15:36,18.25,27,3.9,False,False,True,Closed,485.0
TICK-2024-000099,CUST-08780,EMP-0012,Feature Request,High,Web Portal,Europe,2024-04-29 09:04:15,2024-04-30 02:43:15,17.65,24,4.2,False,False,True,Closed,304.75
TICK-2024-000100,CUST-11714,EMP-0264,Performance Issue,Critical,Chat,Asia-Pacific,2024-12-17 08:12:57,2024-12-17 18:15:21,10.04,14,3.4,True,False,True,Closed,490.6
TICK-2024-000101,CUST-10462,EMP-0154,Feature Request,High,Web Portal,Europe,2024-08-24 09:11:19,2024-08-25 01:08:19,15.95,38,3.3,False,False,True,Closed,279.25
TICK-2024-000102,CUST-08764,EMP-0212,Bug Report,Critical,Chat,South America,2024-08-13 08:58:33,2024-08-13 18:36:57,9.64,3,3.2,True,True,True,Closed,562.8
TICK-2025-000103,CUST-09539,EMP-0149,Integration Support,High,Email,Asia-Pacific,2025-07-27 05:51:48,2025-07-30 02:29:00,68.62,44,2.3,False,False,True,Closed,1552.4
TICK-2025-000104,CUST-10467,EMP-0210,Login Issue,Low,Chat,Europe,2025-10-07 22:04:24,2025-10-08 00:11:36,2.12,38,4.7,False,False,False,Closed,62.4
TICK-2025-000105,CUST-04513,EMP-0376,Performance Issue,High,Chat,South America,2025-10-10 08:37:34,2025-10-10 20:03:22,11.43,22,3.5,False,True,True,Closed,408.6
TICK-2025-000106,CUST-04309,EMP-0313,Performance Issue,Medium,Phone,Asia-Pacific,2025-09-07 18:15:30,2025-09-09 01:59:00,31.72,59,3.0,False,False,True,Closed,754.5
TICK-2025-000107,CUST-08448,EMP-0290,Login Issue,Low,Email,North America,2025-05-14 14:22:50,2025-05-14 20:00:02,5.62,23,4.9,False,False,False,Closed,132.4
TICK-2024-000108,CUST-11924,EMP-0176,Integration Support,Medium,Chat,South America,2024-11-02 06:47:59,2024-11-05 12:46:11,77.97,9,2.3,True,False,True,Closed,2249.25
TICK-2025-000109,CUST-11736,EMP-0338,Bug Report,High,Web Portal,Europe,2025-02-01 02:28:29,2025-02-01 17:33:17,15.08,34,3.9,False,False,True,Closed,467.0
TICK-2025-000110,CUST-12865,EMP-0396,Performance Issue,High,Chat,Asia-Pacific,2025-03-13 05:46:48,2025-03-13 14:03:36,8.28,25,3.6,False,False,True,Closed,285.6
TICK-2024-000111,CUST-05327,EMP-0216,Performance Issue,Low,Web Portal,Europe,2024-08-08 01:56:18,2024-08-09 00:24:30,22.47,90,4.9,False,False,False,Pending,681.75
TICK-2024-000112,CUST-00777,EMP-0014,Login Issue,Low,Phone,Europe,2024-10-15 05:30:32,2024-10-15 09:05:56,3.59,22,4.5,False,False,False,Closed,91.8
TICK-2025-000113,CUST-02731,EMP-0247,Account Management,High,Chat,Europe,2025-10-21 02:21:57,2025-10-21 03:03:21,0.69,37,4.0,False,False,False,Closed,52.25
TICK-2024-000114,CUST-04034,EMP-0016,Bug Report,Medium,Email,Asia-Pacific,2024-10-12 17:53:54,2024-10-13 12:29:18,18.59,39,4.9,False,False,False,Closed,461.8
TICK-2025-000115,CUST-08234,EMP-0368,Login Issue,Medium,Web Portal,Europe,2025-10-04 14:10:21,2025-10-04 16:48:45,2.64,52,4.2,False,False,False,Closed,59.6
TICK-2024-000116,CUST-11525,EMP-0086,Performance Issue,Medium,Email,Europe,2024-07-06 21:57:54,2024-07-07 19:36:54,21.65,29,4.3,False,False,False,Closed,444.75
TICK-2024-000117,CUST-11278,EMP-0101,Account Management,Medium,Chat,North America,2024-02-07 07:55:56,2024-02-07 11:23:32,3.46,82,4.6,False,False,False,Closed,104.2
TICK-2025-000118,CUST-05266,EMP-0120,Data Sync Issue,Medium,Web Portal,Europe,2025-01-30 22:27:34,2025-02-01 00:57:34,26.5,68,3.2,False,False,True,Closed,600.0
TICK-2025-000119,CUST-05821,EMP-0299,Account Management,High,Chat,North America,2025-07-04 22:53:23,2025-07-05 05:07:11,6.23,6,4.3,False,False,False,Closed,128.45
TICK-2024-000120,CUST-10886,EMP-0067,Feature Request,High,Chat,North America,2024-09-22 06:58:34,2024-09-22 21:02:46,14.07,29,3.8,False,False,True,Closed,321.4
TICK-2025-000121,CUST-11383,EMP-0192,Login Issue,High,Email,Europe,2025-08-05 20:11:39,2025-08-06 01:13:27,5.03,11,4.3,False,False,False,Closed,120.6
TICK-2024-000122,CUST-06255,EMP-0221,Performance Issue,Critical,Web Portal,Europe,2024-04-14 13:56:01,2024-04-14 19:49:25,5.89,3,3.5,False,False,True,Closed,337.8
TICK-2024-000123,CUST-03649,EMP-0034,Integration Support,Critical,Web Portal,Asia-Pacific,2024-02-08 23:54:39,2024-02-10 02:24:03,26.49,5,2.0,True,True,True,Closed,989.8
TICK-2025-000124,CUST-09275,EMP-0281,Performance Issue,Medium,Email,Europe,2025-03-24 22:57:39,2025-03-26 08:37:15,33.66,55,2.8,False,False,True,Closed,624.9
TICK-2024-000125,CUST-11564,EMP-0380,Login Issue,High,Phone,North America,2024-01-30 23:05:47,2024-01-31 00:51:59,1.77,16,4.8,False,False,False,Closed,64.25
TICK-2025-000126,CUST-10194,EMP-0216,Performance Issue,High,Email,North America,2025-01-07 07:24:06,2025-01-07 16:40:18,9.27,22,4.0,False,False,True,Closed,351.75
TICK-2024-000127,CUST-08161,EMP-0035,Login Issue,Medium,Chat,Asia-Pacific,2024-06-02 02:08:37,2024-06-02 04:00:13,1.86,43,4.4,False,False,False,Closed,47.9
TICK-2025-000128,CUST-11750,EMP-0206,Feature Request,High,Email,Asia-Pacific,2025-01-01 14:44:33,2025-01-02 16:34:57,25.84,24,3.2,False,False,True,Closed,427.6
TICK-2025-000129,CUST-12522,EMP-0099,Data Sync Issue,High,Email,North America,2025-06-08 04:59:35,2025-06-09 07:49:05,26.83,34,3.5,False,False,True,Closed,472.38
TICK-2025-000130,CUST-07091,EMP-0213,Payment Issue,Medium,Chat,Europe,2025-06-11 00:22:58,2025-06-11 09:29:34,9.11,46,4.5,False,False,False,Closed,186.65
TICK-2025-000131,CUST-12737,EMP-0085,Payment Issue,Critical,Phone,North America,2025-02-03 08:33:42,2025-02-03 10:49:18,2.26,6,3.4,False,True,True,Closed,243.9
TICK-2025-000132,CUST-09932,EMP-0267,Performance Issue,Medium,Phone,Europe,2025-04-22 07:25:52,2025-04-23 07:28:52,24.05,30,2.8,False,False,True,Closed,480.75
TICK-2024-000133,CUST-01629,EMP-0179,Performance Issue,Critical,Email,Asia-Pacific,2024-10-27 10:25:29,2024-10-27 18:39:53,8.24,9,4.0,False,False,True,Closed,343.6
TICK-2025-000134,CUST-06051,EMP-0054,Payment Issue,Medium,Web Portal,Europe,2025-07-21 19:03:38,2025-07-21 23:31:50,4.47,54,4.1,False,False,False,Closed,139.4
TICK-2025-000135,CUST-12708,EMP-0166,Integration Support,High,Chat,North America,2025-02-01 08:44:46,2025-02-02 11:23:10,26.64,15,3.5,False,False,True,Closed,846.0
TICK-2024-000136,CUST-06482,EMP-0106,Integration Support,Low,Chat,North America,2024-04-06 11:44:26,2024-04-09 12:02:26,72.3,64,2.8,False,False,True,Closed,1626.0
TICK-2024-000137,CUST-07770,EMP-0370,Bug Report,Medium,Chat,North America,2024-07-14 04:16:31,2024-07-15 10:11:43,29.92,21,3.5,False,False,True,Closed,688.4
TICK-2024-000138,CUST-08092,EMP-0375,Data Sync Issue,Low,Phone,Europe,2024-11-15 06:31:05,2024-11-15 13:50:17,7.32,46,3.6,False,True,False,Closed,276.4
TICK-2025-000139,CUST-03152,EMP-0127,Bug Report,Medium,Email,Europe,2025-10-11 20:39:37,2025-10-13 14:05:07,41.42,54,2.6,True,False,True,Closed,1038.5
TICK-2025-000140,CUST-02864,EMP-0122,Account Management,High,Email,North America,2025-07-28 22:53:24,2025-07-29 03:45:36,4.87,12,4.7,False,False,False,Closed,132.4
TICK-2025-000141,CUST-10367,EMP-0343,Feature Request,Medium,Phone,North America,2025-06-11 11:11:48,2025-06-12 07:06:24,19.91,47,3.9,False,False,False,Closed,338.65
TICK-2025-000142,CUST-07413,EMP-0265,Bug Report,High,Chat,Asia-Pacific,2025-04-27 13:04:21,2025-04-28 08:42:45,19.64,25,3.9,False,False,True,Closed,384.6
TICK-2025-000143,CUST-02137,EMP-0021,Integration Support,Critical,Web Portal,Europe,2025-07-29 22:49:47,2025-07-31 00:56:23,26.11,11,2.3,True,False,True,Closed,791.65
TICK-2024-000144,CUST-00966,EMP-0240,Account Management,Critical,Phone,Europe,2024-03-30 13:33:13,2024-03-30 17:02:01,3.48,4,3.2,True,False,True,Closed,324.6
TICK-2025-000145,CUST-08769,EMP-0351,Data Sync Issue,Medium,Chat,North America,2025-02-16 13:50:02,2025-02-17 14:39:32,24.82,94,2.2,False,False,True,Closed,442.38
TICK-2024-000146,CUST-04609,EMP-0129,Data Sync Issue,Medium,Chat,Asia-Pacific,2024-12-28 13:07:24,2024-12-29 00:05:36,10.97,44,4.0,False,False,False,Closed,344.25
TICK-2025-000147,CUST-00236,EMP-0123,Data Sync Issue,Medium,Email,Europe,2025-09-30 23:56:25,2025-10-01 15:31:49,15.59,74,3.5,False,True,False,Closed,363.85
TICK-2024-000148,CUST-04953,EMP-0089,Data Sync Issue,Medium,Phone,South America,2024-02-29 21:11:00,2024-03-01 08:32:45,11.36,63,4.5,False,False,False,Closed,297.25
